118.512700     36.301420
119.252090     36.951113
 0.6    2.658    0.000      1
 0.8    2.662    0.000      1
 1.0    2.668    0.000      1
 1.2    2.668    0.000      1
 1.4    2.624    0.000      1
 1.6    2.616    0.000      1
 1.8    2.644    0.000      1
 2.0    2.670    0.000      1
 2.2    2.672    0.000      1
 2.4    2.674    0.000      1
 2.6    2.682    0.000      1
 2.8    2.696    0.000      1
 3.0    2.704    0.000      1
 3.2    2.684    0.000      1
 3.4    2.644    0.000      1
 3.6    2.624    0.000      1
 3.8    2.620    0.000      1
 4.0    2.626    0.000      1
 4.2    2.630    0.000      1
 4.4    2.634    0.000      1
 4.6    2.634    0.000      1
 4.8    2.634    0.000      1
 5.0    2.636    0.000      1
 5.2    2.640    0.000      1
 5.4    2.644    0.000      1
 5.6    2.644    0.000      1
 5.8    2.644    0.000      1
 6.0    2.650    0.000      1
 6.2    2.656    0.000      1
 6.4    2.656    0.000      1
 6.6    0.000    0.000      0
 6.8    0.000    0.000      0
 7.0    0.000    0.000      0
 7.2    0.000    0.000      0
 7.4    0.000    0.000      0
 7.6    0.000    0.000      0
 7.8    0.000    0.000      0
 8.0    0.000    0.000      0
 8.2    0.000    0.000      0
 8.4    0.000    0.000      0
 8.6    0.000    0.000      0
 8.8    0.000    0.000      0
 9.0    0.000    0.000      0
 9.2    0.000    0.000      0
 9.4    0.000    0.000      0
 9.6    0.000    0.000      0
 9.8    0.000    0.000      0
10.0    0.000    0.000      0
